global_problem_id,title,primary_topic,topics,techniques,prerequisites,risks,difficulty
codeforces_2044_A,Easy Problem,implementation_constructive,"[""implementation_constructive"", ""math""]","[""brute_force""]","[""constraint_reading"", ""complexity_estimation""]","[""tle"", ""bad_complexity"", ""off_by_one""]",800.0
codeforces_2009_G3,Yunli's Subarray Queries (extreme version),data_structures,"[""data_structures"", ""dynamic_programming"", ""implementation_constructive"", ""techniques"", ""graphs""]","[""data_structures"", ""dynamic_programming"", ""constructive"", ""binary_search"", ""graphs""]","[""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""tle"", ""precision_error""]",2700.0
codeforces_2009_G2,Yunli's Subarray Queries (hard version),techniques,"[""techniques"", ""data_structures"", ""dynamic_programming"", ""graphs""]","[""binary_search"", ""data_structures"", ""dynamic_programming"", ""graphs"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""tie_handling"", ""wrong_ordering"", ""tle""]",2200.0
codeforces_2009_G1,Yunli's Subarray Queries (easy version),techniques,"[""techniques"", ""data_structures""]","[""binary_search"", ""data_structures"", ""two_pointers"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""operation_invariants"", ""complexity_tradeoffs"", ""monotonic_window"", ""invariant_reasoning"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""pointer_invariant_bug"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1900.0
codeforces_2009_F,Firefly's Queries,data_structures,"[""data_structures"", ""graphs"", ""math"", ""techniques""]","[""data_structures"", ""graphs"", ""number_theory"", ""prefix_sums""]","[""operation_invariants"", ""complexity_tradeoffs"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""divisibility"", ""modular_arithmetic"", ""range_aggregation"", ""index_boundaries""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""indexing_bug"", ""off_by_one"", ""tle""]",1700.0
codeforces_2009_E,Klee's SUPER DUPER LARGE Array!!!,techniques,"[""techniques"", ""math"", ""ternary_search"", ""greedy""]","[""binary_search"", ""direct_formula"", ""greedy"", ""prefix_sums"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""range_aggregation"", ""index_boundaries"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""precision_error"", ""overflow"", ""invalid_integer_root"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""indexing_bug"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1400.0
codeforces_2009_D,Satyam and Counting,math,"[""math"", ""greedy""]","[""direct_formula"", ""greedy""]","[""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""precision_error"", ""overflow"", ""invalid_integer_root"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",1400.0
codeforces_2009_C,The Legend of Freya the Frog,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""constructive"", ""greedy""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""tle""]",1100.0
codeforces_2009_B,osu!mania,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""techniques""]","[""brute_force"", ""constructive"", ""greedy"", ""sorting""]","[""constraint_reading"", ""complexity_estimation"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""tle"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""tie_handling"", ""wrong_ordering""]",800.0
codeforces_2009_A,Minimize!,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""brute_force"", ""greedy""]","[""constraint_reading"", ""complexity_estimation"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""tle"", ""bad_complexity"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases""]",800.0
codeforces_1999_G2,Ruler (hard version),techniques,"[""techniques"", ""interactive"", ""ternary_search""]","[""binary_search""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""tle""]",1700.0
codeforces_1999_G1,Ruler (easy version),techniques,"[""techniques"", ""interactive""]","[""binary_search""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""tle""]",1500.0
codeforces_1999_F,Expected Median,math,"[""math"", ""techniques""]","[""number_theory"", ""sorting""]","[""divisibility"", ""modular_arithmetic"", ""ordering_argument"", ""tie_handling""]","[""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""tie_handling"", ""wrong_ordering"", ""tle"", ""edge_cases""]",1500.0
codeforces_1999_E,Triple Operations,dynamic_programming,"[""dynamic_programming"", ""implementation_constructive"", ""math"", ""greedy""]","[""dynamic_programming"", ""constructive"", ""greedy""]","[""state_design"", ""transition_reasoning"", ""base_cases"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""tle"", ""off_by_one""]",1300.0
codeforces_1999_D,Slavic's Exam,greedy,"[""greedy"", ""implementation_constructive"", ""strings"", ""techniques""]","[""greedy"", ""constructive"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1100.0
codeforces_1999_C,Showering,greedy,"[""greedy"", ""implementation_constructive""]","[""greedy"", ""constructive""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""tle""]",800.0
codeforces_1999_B,Card Game,implementation_constructive,"[""implementation_constructive""]","[""brute_force"", ""constructive""]","[""constraint_reading"", ""complexity_estimation"", ""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""tle"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap""]",1000.0
codeforces_1999_A,A+B Again?,implementation_constructive,"[""implementation_constructive"", ""math""]","[""constructive""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""tle""]",800.0
codeforces_1985_H2,Maximize the Largest Component (Hard Version),data_structures,"[""data_structures"", ""graphs"", ""dynamic_programming"", ""implementation_constructive"", ""techniques""]","[""data_structures"", ""dynamic_programming"", ""constructive"", ""graphs"", ""prefix_sums""]","[""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""range_aggregation"", ""index_boundaries""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""indexing_bug"", ""off_by_one"", ""tle""]",2200.0
codeforces_1985_H1,Maximize the Largest Component (Easy Version),implementation_constructive,"[""implementation_constructive"", ""data_structures"", ""graphs"", ""techniques""]","[""brute_force"", ""data_structures"", ""graphs"", ""constructive"", ""prefix_sums""]","[""constraint_reading"", ""complexity_estimation"", ""operation_invariants"", ""complexity_tradeoffs"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""range_aggregation"", ""index_boundaries""]","[""tle"", ""bad_complexity"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""indexing_bug"", ""off_by_one""]",1700.0
codeforces_1985_G,D-Function,math,"[""math""]","[""number_theory""]","[""divisibility"", ""modular_arithmetic""]","[""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""tle"", ""edge_cases"", ""off_by_one""]",1600.0
codeforces_1985_F,Final Boss,techniques,"[""techniques"", ""data_structures""]","[""binary_search"", ""data_structures"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""operation_invariants"", ""complexity_tradeoffs"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""tie_handling"", ""wrong_ordering"", ""tle"", ""overflow""]",1500.0
codeforces_1985_E,Secret Box,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""brute_force"", ""greedy""]","[""constraint_reading"", ""complexity_estimation"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""tle"", ""bad_complexity"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases""]",1200.0
codeforces_1985_D,Manhattan Circle,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""constructive"", ""greedy""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""tle""]",900.0
codeforces_1985_C,Good Prefixes,greedy,"[""greedy"", ""techniques""]","[""greedy"", ""prefix_sums""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""range_aggregation"", ""index_boundaries""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""indexing_bug"", ""off_by_one"", ""tle""]",1000.0
codeforces_1985_B,Maximum Multiple Sum,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""brute_force"", ""number_theory"", ""greedy""]","[""constraint_reading"", ""complexity_estimation"", ""divisibility"", ""modular_arithmetic"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""tle"", ""bad_complexity"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases""]",800.0
