tree_node_id,parent_tree_node_id,global_problem_id,node_role,node_type,title,summary,node_text,depth,order,source,normalized_difficulty,difficulty_bucket,original_tags,normalized_tags,topic_group,url,metadata
problem::codeforces_2220_B,difficulty::codeforces::greedy::1200-1599,codeforces_2220_B,PROBLEM,PROBLEM,OIE Excursion,"OIE Excursion B. OIE Excursion time limit per test 1 second memory limit per test 256 megabytes input standard input output standard output Hector is on an excursion with the Spanish Olympiad in Informatics, visiting A Coruña, but he is desperate to sneak away to...","OIE Excursion

B. OIE Excursion
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

Hector is on an excursion with the Spanish Olympiad in Informatics, visiting A Coruña, but he is desperate to sneak away to meet his friends Gustavo, Esomer, and Dani. To do so, he must cross a path guarded by $$$n$$$ volunteers standing in a row, numbered from $$$1$$$ to $$$n$$$; the $$$i$$$-th volunteer watches over position $$$i$$$.
Each volunteer has an internal timer. Initially (at second $$$0$$$), the $$$i$$$-th volunteer's timer has a value $$$a_i$$$. Every second, all timers increase by $$$1$$$. Once a timer reaches $$$m$$$, it wraps around to $$$0$$$. Specifically, at second $$$x$$$, the $$$i$$$-th volunteer's timer shows the value $$$(a_i + x) \pmod m$$$.
The $$$i$$$-th volunteer is only watching over position $$$i$$$ when their timer is exactly $$$0$$$. At any other time, they are distracted and will not notice Hector.
Hector starts at position $$$0$$$, to the left of all volunteers. To escape, he must reach position $$$n+1$$$. In the
end
of each second, Hector can choose to stay in his current position, move one position to the left, or move one position to the right. Note that Hector can't go to the left of position $$$0$$$.
Hector is caught if and only if, at the
beginning
of a second, he is at position $$$i$$$ ($$$1 \le i \le n$$$) and the $$$i$$$-th volunteer's timer is $$$0$$$.
Determine whether there exists a strategy for Hector to pass all volunteers and escape without being caught.

Solution:
If there exists a contiguous subarray of equal values with length ≥ m, it is impossible to escape. This is because crossing such a block requires at least m seconds, and each position will look in direction 0 at least once in any m consecutive seconds.
Otherwise, escape is possible. We can think of the array as consecutive blocks of equal values, each of length < m. For each block, there exists a window of time shorter than m during which none of its positions are looking at 0. By waiting outside the block until this safe window, Hector can cross it without being caught. Since two consecutive blocks have different values, their dangerous moments never coincide, and this strategy can be repeated for all blocks.",4,7,codeforces,1200.0,1200-1599,"[""greedy""]","[""greedy""]","[""greedy""]",https://codeforces.com/problemset/problem/2220/B,"{""rating"": 1200.0, ""editorial_status"": ""downloaded"", ""editorial_parse_method"": ""codeforces_ajax_problemTutorial""}"
group::codeforces_2219_A::UNDERSTANDING,problem::codeforces_2219_A,codeforces_2219_A,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for Grid L.,,5,1,codeforces,1400.0,1200-1599,"[""brute force"", ""constructive algorithms"", ""math"", ""number theory""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/A,{}
group::codeforces_2219_B1::UNDERSTANDING,problem::codeforces_2219_B1,codeforces_2219_B1,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for Unique Values (Easy version).,,5,1,codeforces,1900.0,1600-1999,"[""binary search"", ""constructive algorithms"", ""divide and conquer"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]",https://codeforces.com/problemset/problem/2219/B1,{}
group::codeforces_2219_C::UNDERSTANDING,problem::codeforces_2219_C,codeforces_2219_C,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for Coloring a Red Black Tree.,,5,1,codeforces,2300.0,2000-2399,"[""dfs and similar"", ""dp"", ""greedy"", ""math"", ""probabilities"", ""trees""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]",https://codeforces.com/problemset/problem/2219/C,{}
group::codeforces_2219_D::UNDERSTANDING,problem::codeforces_2219_D,codeforces_2219_D,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for MEX Replacement on Tree.,,5,1,codeforces,2700.0,2400+,"[""data structures"", ""implementation"", ""math"", ""trees""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]",https://codeforces.com/problemset/problem/2219/D,{}
group::codeforces_2219_E::UNDERSTANDING,problem::codeforces_2219_E,codeforces_2219_E,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for Weird Chessboard.,,5,1,codeforces,3500.0,2400+,"[""constructive algorithms"", ""math""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/E,{}
group::codeforces_2220_A::UNDERSTANDING,problem::codeforces_2220_A,codeforces_2220_A,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for Blocked.,,5,1,codeforces,800.0,800-1199,"[""greedy"", ""sortings""]","[""greedy"", ""techniques""]","[""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2220/A,{}
group::codeforces_2220_B::UNDERSTANDING,problem::codeforces_2220_B,codeforces_2220_B,SECTION_GROUP,UNDERSTANDING,Understanding,Understanding nodes for OIE Excursion.,,5,1,codeforces,1200.0,1200-1599,"[""greedy""]","[""greedy""]","[""greedy""]",https://codeforces.com/problemset/problem/2220/B,{}
group::codeforces_2219_A::EDITORIAL_REASONING,problem::codeforces_2219_A,codeforces_2219_A,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Grid L.,,5,2,codeforces,1400.0,1200-1599,"[""brute force"", ""constructive algorithms"", ""math"", ""number theory""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/A,{}
group::codeforces_2219_B1::EDITORIAL_REASONING,problem::codeforces_2219_B1,codeforces_2219_B1,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Unique Values (Easy version).,,5,2,codeforces,1900.0,1600-1999,"[""binary search"", ""constructive algorithms"", ""divide and conquer"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]",https://codeforces.com/problemset/problem/2219/B1,{}
group::codeforces_2219_C::EDITORIAL_REASONING,problem::codeforces_2219_C,codeforces_2219_C,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Coloring a Red Black Tree.,,5,2,codeforces,2300.0,2000-2399,"[""dfs and similar"", ""dp"", ""greedy"", ""math"", ""probabilities"", ""trees""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]",https://codeforces.com/problemset/problem/2219/C,{}
group::codeforces_2219_D::EDITORIAL_REASONING,problem::codeforces_2219_D,codeforces_2219_D,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for MEX Replacement on Tree.,,5,2,codeforces,2700.0,2400+,"[""data structures"", ""implementation"", ""math"", ""trees""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]",https://codeforces.com/problemset/problem/2219/D,{}
group::codeforces_2219_E::EDITORIAL_REASONING,problem::codeforces_2219_E,codeforces_2219_E,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Weird Chessboard.,,5,2,codeforces,3500.0,2400+,"[""constructive algorithms"", ""math""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/E,{}
group::codeforces_2220_A::EDITORIAL_REASONING,problem::codeforces_2220_A,codeforces_2220_A,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Blocked.,,5,2,codeforces,800.0,800-1199,"[""greedy"", ""sortings""]","[""greedy"", ""techniques""]","[""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2220/A,{}
group::codeforces_2220_B::EDITORIAL_REASONING,problem::codeforces_2220_B,codeforces_2220_B,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for OIE Excursion.,,5,2,codeforces,1200.0,1200-1599,"[""greedy""]","[""greedy""]","[""greedy""]",https://codeforces.com/problemset/problem/2220/B,{}
group::codeforces_2219_A::IMPLEMENTATION_RISKS,problem::codeforces_2219_A,codeforces_2219_A,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for Grid L.,,5,3,codeforces,1400.0,1200-1599,"[""brute force"", ""constructive algorithms"", ""math"", ""number theory""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/A,{}
group::codeforces_2219_B1::IMPLEMENTATION_RISKS,problem::codeforces_2219_B1,codeforces_2219_B1,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for Unique Values (Easy version).,,5,3,codeforces,1900.0,1600-1999,"[""binary search"", ""constructive algorithms"", ""divide and conquer"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]",https://codeforces.com/problemset/problem/2219/B1,{}
group::codeforces_2219_C::IMPLEMENTATION_RISKS,problem::codeforces_2219_C,codeforces_2219_C,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for Coloring a Red Black Tree.,,5,3,codeforces,2300.0,2000-2399,"[""dfs and similar"", ""dp"", ""greedy"", ""math"", ""probabilities"", ""trees""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]",https://codeforces.com/problemset/problem/2219/C,{}
group::codeforces_2219_D::IMPLEMENTATION_RISKS,problem::codeforces_2219_D,codeforces_2219_D,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for MEX Replacement on Tree.,,5,3,codeforces,2700.0,2400+,"[""data structures"", ""implementation"", ""math"", ""trees""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]",https://codeforces.com/problemset/problem/2219/D,{}
group::codeforces_2219_E::IMPLEMENTATION_RISKS,problem::codeforces_2219_E,codeforces_2219_E,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for Weird Chessboard.,,5,3,codeforces,3500.0,2400+,"[""constructive algorithms"", ""math""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/E,{}
group::codeforces_2220_A::IMPLEMENTATION_RISKS,problem::codeforces_2220_A,codeforces_2220_A,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for Blocked.,,5,3,codeforces,800.0,800-1199,"[""greedy"", ""sortings""]","[""greedy"", ""techniques""]","[""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2220/A,{}
group::codeforces_2220_B::IMPLEMENTATION_RISKS,problem::codeforces_2220_B,codeforces_2220_B,SECTION_GROUP,IMPLEMENTATION_RISKS,Implementation Risks,Implementation Risks nodes for OIE Excursion.,,5,3,codeforces,1200.0,1200-1599,"[""greedy""]","[""greedy""]","[""greedy""]",https://codeforces.com/problemset/problem/2220/B,{}
content::codeforces_2219_A_01_STATEMENT,group::codeforces_2219_A::UNDERSTANDING,codeforces_2219_A,CONTENT,STATEMENT,Grid L - Statement,"A. Grid L time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Roger has $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, each formed by joining...","A. Grid L
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Roger has $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, each formed by joining two unit-length segments at a right angle.
He wants to use all of these pieces, with no piece left unused, to form a grid of dimensions $$$n \times m$$$.
Given $$$p$$$ and $$$q$$$, determine whether there exist positive integers $$$n$$$ and $$$m$$$ such that an $$$n \times m$$$ grid can be formed using exactly $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, possibly rotating them, and provide any valid $$$n$$$ and $$$m$$$.",6,1,codeforces,1400.0,1200-1599,"[""brute force"", ""constructive algorithms"", ""math"", ""number theory""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/A,"{""page_node_id"": ""codeforces_2219_A::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2219_A""}"
content::codeforces_2219_B1_01_STATEMENT,group::codeforces_2219_B1::UNDERSTANDING,codeforces_2219_B1,CONTENT,STATEMENT,Unique Values (Easy version) - Statement,B1. Unique Values (Easy version) time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output The difference between the easy version and hard version is the...,"B1. Unique Values (Easy version)
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

The difference between the easy version and hard version is the maximum number of queries allowed. In this version, it is 66.
There is a secret array $$$a$$$ of length $$$2n+1$$$, whose elements are integers from $$$1$$$ to $$$n$$$. Each value appears exactly twice, except for one value, which appears exactly three times.
Your goal is to find the three positions of the value that appears three times.
To do this, you may ask the following query at most 66 times:
Choose an integer $$$k$$$ and an array $$$s$$$ of $$$k$$$ distinct indices between $$$1$$$ and $$$2n+1$$$.
You will receive the number of different values among $$$a_{s_1}, a_{s_2}, \ldots, a_{s_k}$$$ that appear exactly once, or, in other words, the count of values that are not repeated.
For example, if the values $$$a_{s_1}, \ldots, a_{s_k}$$$ are $$$\{2, 1, 2, 3, 2, 3, 6, 7\}$$$, the answer to the query will be 3, as 1, 6, 7 are the only values that appear exactly once. 3 appears 2 times and 2 appears 3 times, which is more than once, so they are not counted.",6,1,codeforces,1900.0,1600-1999,"[""binary search"", ""constructive algorithms"", ""divide and conquer"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]",https://codeforces.com/problemset/problem/2219/B1,"{""page_node_id"": ""codeforces_2219_B1::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2219_B1""}"
content::codeforces_2219_C_01_STATEMENT,group::codeforces_2219_C::UNDERSTANDING,codeforces_2219_C,CONTENT,STATEMENT,Coloring a Red Black Tree - Statement,C. Coloring a Red Black Tree time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output You are given a tree of $$$n$$$ nodes numbered from...,"C. Coloring a Red Black Tree
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

You are given a tree of $$$n$$$ nodes numbered from 1 to $$$n$$$ and a binary string $$$s$$$ of length $$$n$$$ where $$$s_i = 1$$$ means that the $$$i$$$-th node is colored red and $$$s_i = 0$$$ means that the $$$i$$$-th node is colored black. You are allowed to perform the following operation:
Select a node $$$a$$$ ($$$1 \le a \le n$$$).
A neighbor $$$b$$$ of $$$a$$$ is selected uniformly at random.
Recolor node $$$a$$$ with the color of $$$b$$$.
Note that this changes the color of the vertex you selected, not the one that was uniformly chosen.
You want to color all the nodes in the tree red by performing the operation any number of times (possibly zero). Please compute the minimum expected number of operations needed to do so if you perform them optimally. There will be at least one red node initially.",6,1,codeforces,2300.0,2000-2399,"[""dfs and similar"", ""dp"", ""greedy"", ""math"", ""probabilities"", ""trees""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]",https://codeforces.com/problemset/problem/2219/C,"{""page_node_id"": ""codeforces_2219_C::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2219_C""}"
content::codeforces_2219_D_01_STATEMENT,group::codeforces_2219_D::UNDERSTANDING,codeforces_2219_D,CONTENT,STATEMENT,MEX Replacement on Tree - Statement,D. MEX Replacement on Tree time limit per test 3.5 seconds memory limit per test 256 megabytes input standard input output standard output You are given a tree rooted at $$$1$$$ with $$$n$$$ vertices...,"D. MEX Replacement on Tree
time limit per test
3.5 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

You are given a tree rooted at $$$1$$$ with $$$n$$$ vertices and a permutation $$$p$$$ of length $$$n$$$ consisting of integers $$$0, 1, \ldots, n - 1$$$, where $$$p_v$$$ represents the weight of vertex $$$v$$$.
Let $$$S_v$$$ denote the set of weights written on the vertices belonging to the path from $$$1$$$ to $$$v$$$. Define a function $$$f$$$ as $$$f(v) = \mathrm{MEX}(S_v)$$$, that is, the $$$\mathrm{MEX}$$$ over the set consisting of the weights of vertices on the simple path between the root and $$$v$$$ (inclusive), where $$$\operatorname{MEX}$$$ of a collection of integers $$$c_1, c_2, \ldots, c_k$$$ is defined as the smallest non-negative integer $$$x$$$ which does not occur in the collection $$$c$$$.
Also, given the following operation:
Choose an integer $$$v$$$ ($$$1 \leq v \leq n$$$) and assign $$$f(v)$$$ to $$$p_v$$$.
Your goal is to find the maximum value of $$$\sum\limits_{v = 1}^n f(v)$$$ after performing the above operation
no more than once
(possibly zero).",6,1,codeforces,2700.0,2400+,"[""data structures"", ""implementation"", ""math"", ""trees""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]",https://codeforces.com/problemset/problem/2219/D,"{""page_node_id"": ""codeforces_2219_D::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2219_D""}"
content::codeforces_2219_E_01_STATEMENT,group::codeforces_2219_E::UNDERSTANDING,codeforces_2219_E,CONTENT,STATEMENT,Weird Chessboard - Statement,E. Weird Chessboard time limit per test 5 seconds memory limit per test 256 megabytes input standard input output standard output Consider a chessboard (a grid) of size $$$n \times n$$$. You want to...,"E. Weird Chessboard
time limit per test
5 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Consider a chessboard (a grid) of size $$$n \times n$$$. You want to place as many chess pieces on this board as possible. These pieces behave in the following way: if we denote the top-left cell by $$$(1,1)$$$, then a piece placed in cell $$$(i,j)$$$ can attack every cell $$$(x,y)$$$ such that $$$x \ge i$$$ and $$$y \ge j$$$, except for $$$(i,j)$$$ itself.
For example, on a $$$10 \times 10$$$ board, a piece placed at $$$(3,4)$$$ can attack the cells highlighted below:
Given a chessboard with some pieces placed on it, we say that a cell is
good
if the number of pieces that attack that cell is even.
Construct a configuration of pieces such that every cell is good, regardless of whether the cell itself contains a piece or not, and the board contains at least $$$\lfloor \frac{n^2}{10} \rfloor \cdot 3$$$ pieces.",6,1,codeforces,3500.0,2400+,"[""constructive algorithms"", ""math""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/E,"{""page_node_id"": ""codeforces_2219_E::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2219_E""}"
content::codeforces_2220_A_01_STATEMENT,group::codeforces_2220_A::UNDERSTANDING,codeforces_2220_A,CONTENT,STATEMENT,Blocked - Statement,"A. Blocked time limit per test 1 second memory limit per test 256 megabytes input standard input output standard output Given an array $$$a$$$ of integers of size $$$n$$$, we say that a position...","A. Blocked
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

Given an array $$$a$$$ of integers of size $$$n$$$, we say that a position $$$1 \le i \le n$$$ is
blocked
if $$$a_i$$$ can be expressed as the sum of a subset of $$$a_1, a_2, \ldots, a_{i-1}$$$ (i.e. there exist $$$1 \le j_1 \lt j_2 \lt \ldots \lt j_k \le i-1$$$ such that $$$a_{j_1} + a_{j_2} + \ldots + a_{j_k} = a_i$$$). Reorder $$$a$$$ so that no position is blocked or report that it is impossible.
For example, reordering the array [$$$3, 2, 5$$$] to [$$$2, 3, 5$$$] makes position $$$3$$$ blocked, since we can express $$$5 = 2 + 3$$$, but if we reorder it to [$$$3, 5, 2$$$], no position is blocked.",6,1,codeforces,800.0,800-1199,"[""greedy"", ""sortings""]","[""greedy"", ""techniques""]","[""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2220/A,"{""page_node_id"": ""codeforces_2220_A::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2220_A""}"
content::codeforces_2220_B_01_STATEMENT,group::codeforces_2220_B::UNDERSTANDING,codeforces_2220_B,CONTENT,STATEMENT,OIE Excursion - Statement,"B. OIE Excursion time limit per test 1 second memory limit per test 256 megabytes input standard input output standard output Hector is on an excursion with the Spanish Olympiad in Informatics, visiting A...","B. OIE Excursion
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

Hector is on an excursion with the Spanish Olympiad in Informatics, visiting A Coruña, but he is desperate to sneak away to meet his friends Gustavo, Esomer, and Dani. To do so, he must cross a path guarded by $$$n$$$ volunteers standing in a row, numbered from $$$1$$$ to $$$n$$$; the $$$i$$$-th volunteer watches over position $$$i$$$.
Each volunteer has an internal timer. Initially (at second $$$0$$$), the $$$i$$$-th volunteer's timer has a value $$$a_i$$$. Every second, all timers increase by $$$1$$$. Once a timer reaches $$$m$$$, it wraps around to $$$0$$$. Specifically, at second $$$x$$$, the $$$i$$$-th volunteer's timer shows the value $$$(a_i + x) \pmod m$$$.
The $$$i$$$-th volunteer is only watching over position $$$i$$$ when their timer is exactly $$$0$$$. At any other time, they are distracted and will not notice Hector.
Hector starts at position $$$0$$$, to the left of all volunteers. To escape, he must reach position $$$n+1$$$. In the
end
of each second, Hector can choose to stay in his current position, move one position to the left, or move one position to the right. Note that Hector can't go to the left of position $$$0$$$.
Hector is caught if and only if, at the
beginning
of a second, he is at position $$$i$$$ ($$$1 \le i \le n$$$) and the $$$i$$$-th volunteer's timer is $$$0$$$.
Determine whether there exists a strategy for Hector to pass all volunteers and escape without being caught.",6,1,codeforces,1200.0,1200-1599,"[""greedy""]","[""greedy""]","[""greedy""]",https://codeforces.com/problemset/problem/2220/B,"{""page_node_id"": ""codeforces_2220_B::01_STATEMENT"", ""parent_problem_node"": ""problem::codeforces_2220_B""}"
content::codeforces_2219_A_02_INPUT,group::codeforces_2219_A::UNDERSTANDING,codeforces_2219_A,CONTENT,INPUT,Grid L - Input,Input Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 100$$$). The description of the test cases follows. The first line of each...,"Input
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 100$$$). The description of the test cases follows.
The first line of each test case contains two integers $$$p$$$ and $$$q$$$ ($$$1 \le p, q \le 10^8$$$).",6,2,codeforces,1400.0,1200-1599,"[""brute force"", ""constructive algorithms"", ""math"", ""number theory""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/A,"{""page_node_id"": ""codeforces_2219_A::02_INPUT"", ""parent_problem_node"": ""problem::codeforces_2219_A""}"
content::codeforces_2219_B1_02_INPUT,group::codeforces_2219_B1::UNDERSTANDING,codeforces_2219_B1,CONTENT,INPUT,Unique Values (Easy version) - Input,Input Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 500$$$). The description of the test cases follows. The first line of each...,"Input
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 500$$$). The description of the test cases follows.
The first line of each test case contains a single integer $$$n$$$ ($$$2 \le n \le 1000$$$).
The array $$$a$$$ is fixed for the test case and does not change during the interaction. In other words, the interactor is
not adaptive
.
It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^4$$$.",6,2,codeforces,1900.0,1600-1999,"[""binary search"", ""constructive algorithms"", ""divide and conquer"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]","[""techniques"", ""implementation_constructive"", ""interactive"", ""math""]",https://codeforces.com/problemset/problem/2219/B1,"{""page_node_id"": ""codeforces_2219_B1::02_INPUT"", ""parent_problem_node"": ""problem::codeforces_2219_B1""}"
content::codeforces_2219_C_02_INPUT,group::codeforces_2219_C::UNDERSTANDING,codeforces_2219_C,CONTENT,INPUT,Coloring a Red Black Tree - Input,Input Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 1000$$$). The description of the test cases follows. The first line of each...,"Input
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 1000$$$). The description of the test cases follows.
The first line of each test case contains an integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$).
The second line contains a binary string $$$s$$$ of size $$$n$$$.
The following $$$n-1$$$ lines each contain two integers, the $$$i$$$-th of them contains $$$u_i$$$ and $$$v_i$$$ ($$$1 \le u_i, v_i \le n$$$), which means that there is an edge between nodes $$$u_i$$$ and $$$v_i$$$.
It is guaranteed that the given graph is a tree, there is at least one red node, and the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.",6,2,codeforces,2300.0,2000-2399,"[""dfs and similar"", ""dp"", ""greedy"", ""math"", ""probabilities"", ""trees""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]","[""graphs"", ""dynamic_programming"", ""greedy"", ""math""]",https://codeforces.com/problemset/problem/2219/C,"{""page_node_id"": ""codeforces_2219_C::02_INPUT"", ""parent_problem_node"": ""problem::codeforces_2219_C""}"
content::codeforces_2219_D_02_INPUT,group::codeforces_2219_D::UNDERSTANDING,codeforces_2219_D,CONTENT,INPUT,MEX Replacement on Tree - Input,Input Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 2 \cdot 10^4$$$). The description of the test cases follows. The first line...,"Input
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 2 \cdot 10^4$$$). The description of the test cases follows.
The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$) — the number of vertices of the tree.
The second line of each test case contains $$$n$$$ integers $$$p_1, p_2, \ldots, p_n$$$ ($$$0 \le p_i \le n - 1$$$) — the elements of array $$$p$$$. It is guaranteed that every integer from $$$0$$$ to $$$n - 1$$$ appears exactly once in $$$p$$$.
Then $$$n - 1$$$ lines follow, each line contains two integers $$$x_i$$$ and $$$y_i$$$ ($$$1 \le x_i, y_i \le n$$$), indicating an edge between vertices $$$x_i$$$ and $$$y_i$$$. It is guaranteed that these edges form a tree.
It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.",6,2,codeforces,2700.0,2400+,"[""data structures"", ""implementation"", ""math"", ""trees""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]","[""data_structures"", ""implementation_constructive"", ""math"", ""graphs""]",https://codeforces.com/problemset/problem/2219/D,"{""page_node_id"": ""codeforces_2219_D::02_INPUT"", ""parent_problem_node"": ""problem::codeforces_2219_D""}"
content::codeforces_2219_E_02_INPUT,group::codeforces_2219_E::UNDERSTANDING,codeforces_2219_E,CONTENT,INPUT,Weird Chessboard - Input,Input Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 50$$$). The description of the test cases follows. The first line of each...,"Input
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 50$$$). The description of the test cases follows.
The first line of each test case contains an integer $$$n$$$ ($$$1 \le n \le 5000$$$).
It is guaranteed that the sum of $$$n^2$$$ over all test cases is at most $$$25\,000\,000 = 5000^2$$$.",6,2,codeforces,3500.0,2400+,"[""constructive algorithms"", ""math""]","[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2219/E,"{""page_node_id"": ""codeforces_2219_E::02_INPUT"", ""parent_problem_node"": ""problem::codeforces_2219_E""}"
