node_id,parent_node_id,global_problem_id,node_type,title,text,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,metadata
pi::pedagogy::approach::codeforces_2185_E::greedy,pi::problem::codeforces_2185_E,codeforces_2185_E,APPROACH,The Robotic Rush - Greedy Approach,"This problem can be interpreted through greedy. Evidence: binary search greedy implementation two pointers. Prerequisites: exchange_argument, invariant_reasoning, counterexample_testing. Common risks: wrong_proof, hidden_counterexample, edge_cases.",4,11,codeforces,1500.0,"[""techniques"", ""greedy"", ""implementation_constructive""]","[""techniques"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2185/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""greedy"", ""prerequisites"": [""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""], ""risks"": [""wrong_proof"", ""hidden_counterexample"", ""edge_cases""], ""evidence"": ""binary search greedy implementation two pointers""}"
pi::pedagogy::approach::codeforces_2185_E::constructive,pi::problem::codeforces_2185_E,codeforces_2185_E,APPROACH,The Robotic Rush - Constructive Approach,"This problem can be interpreted through constructive. Evidence: The Robotic Rush

E. The Robotic Rush
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

There exists an infinitely long number line.
On the number line, there are $n$ robots and $m$ spikes, each located at a specific point on the number line. The $i$-th robot is located at position $a_i$, and the. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",4,11,codeforces,1500.0,"[""techniques"", ""greedy"", ""implementation_constructive"", ""constructive""]","[""techniques"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2185/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive"", ""prerequisites"": [""pattern_recognition"", ""case_splitting"", ""validity_proof""], ""risks"": [""invalid_construction"", ""edge_cases"", ""proof_gap""], ""evidence"": ""The Robotic Rush\n\nE. The Robotic Rush\ntime limit per test\n3 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nThere exists an infinitely long number line.\nOn the number line, there are $n$ robots and $m$ spikes, each located at a specific point on the number line. The $i$-th robot is located at position $a_i$, and the""}"
pi::pedagogy::technique::two_pointers,pi::pedagogy::topic::techniques,,TECHNIQUE,Two Pointers,"Technique two pointers. Prerequisites: monotonic_window, invariant_reasoning. Common risks: pointer_invariant_bug, off_by_one.",3,11,,,"[""two_pointers"", ""techniques""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""two_pointers""}"
pi::pedagogy::approach::codeforces_2185_E::two_pointers,pi::problem::codeforces_2185_E,codeforces_2185_E,APPROACH,The Robotic Rush - Two Pointers Approach,"This problem can be interpreted through two pointers. Evidence: binary search greedy implementation two pointers. Prerequisites: monotonic_window, invariant_reasoning. Common risks: pointer_invariant_bug, off_by_one.",4,11,codeforces,1500.0,"[""techniques"", ""greedy"", ""implementation_constructive"", ""two_pointers""]","[""techniques"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2185/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""two_pointers"", ""prerequisites"": [""monotonic_window"", ""invariant_reasoning""], ""risks"": [""pointer_invariant_bug"", ""off_by_one""], ""evidence"": ""binary search greedy implementation two pointers""}"
pi::pedagogy::prerequisite::monotonic_window,pi::pedagogy::prerequisites,,PREREQUISITE,Monotonic Window,Prerequisite skill: monotonic window.,3,11,,,"[""monotonic_window""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""monotonic_window""}"
pi::pedagogy::risk::pointer_invariant_bug,pi::pedagogy::risks,,RISK,Pointer Invariant Bug,Common risk: pointer invariant bug. Useful for hinting and answer validation.,3,11,,,"[""pointer_invariant_bug""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""pointer_invariant_bug""}"
pi::pedagogy::approach::codeforces_2185_D::data_structures,pi::problem::codeforces_2185_D,codeforces_2185_D,APPROACH,OutOfMemoryError - Data Structures Approach,"This problem can be interpreted through data structures. Evidence: We can use a lazy segment tree to simulate these operations.. Prerequisites: operation_invariants, complexity_tradeoffs. Common risks: stale_update, wrong_query_range, complexity_bug.",4,12,codeforces,1100.0,"[""data_structures"", ""implementation_constructive"", ""math"", ""techniques""]","[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""graphs""]",https://codeforces.com/problemset/problem/2185/D,"{""layer"": ""pedagogical_graph"", ""technique"": ""data_structures"", ""prerequisites"": [""operation_invariants"", ""complexity_tradeoffs""], ""risks"": [""stale_update"", ""wrong_query_range"", ""complexity_bug""], ""evidence"": ""We can use a lazy segment tree to simulate these operations.""}"
pi::pedagogy::approach::codeforces_2185_D::constructive,pi::problem::codeforces_2185_D,codeforces_2185_D,APPROACH,OutOfMemoryError - Constructive Approach,"This problem can be interpreted through constructive. Evidence: OutOfMemoryError

D. OutOfMemoryError
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Bessie has an array of $n$ integers $a_1, a_2, \ldots, a_n$. Bessie performs $m$ operations on the array. The $i$-th operation sets $a_{b_i} = a_{b_i} + c_i$.
Unfortunately, due to rising RAM costs, Bessie's. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",4,12,codeforces,1100.0,"[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""constructive""]","[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""graphs""]",https://codeforces.com/problemset/problem/2185/D,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive"", ""prerequisites"": [""pattern_recognition"", ""case_splitting"", ""validity_proof""], ""risks"": [""invalid_construction"", ""edge_cases"", ""proof_gap""], ""evidence"": ""OutOfMemoryError\n\nD. OutOfMemoryError\ntime limit per test\n2 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nBessie has an array of $n$ integers $a_1, a_2, \\ldots, a_n$. Bessie performs $m$ operations on the array. The $i$-th operation sets $a_{b_i} = a_{b_i} + c_i$.\nUnfortunately, due to rising RAM costs, Bessie's""}"
pi::pedagogy::approach::codeforces_2185_D::two_pointers,pi::problem::codeforces_2185_D,codeforces_2185_D,APPROACH,OutOfMemoryError - Two Pointers Approach,"This problem can be interpreted through two pointers. Evidence: data structures implementation math two pointers. Prerequisites: monotonic_window, invariant_reasoning. Common risks: pointer_invariant_bug, off_by_one.",4,12,codeforces,1100.0,"[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""two_pointers""]","[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""graphs""]",https://codeforces.com/problemset/problem/2185/D,"{""layer"": ""pedagogical_graph"", ""technique"": ""two_pointers"", ""prerequisites"": [""monotonic_window"", ""invariant_reasoning""], ""risks"": [""pointer_invariant_bug"", ""off_by_one""], ""evidence"": ""data structures implementation math two pointers""}"
pi::pedagogy::approach::codeforces_2185_D::graphs,pi::problem::codeforces_2185_D,codeforces_2185_D,APPROACH,OutOfMemoryError - Graphs Approach,"This problem can be interpreted through graphs. Evidence: We can use a lazy segment tree to simulate these operations.. Prerequisites: graph_modeling, dfs_bfs, tree_invariants. Common risks: visited_state_bug, recursion_depth, wrong_tree_root.",4,12,codeforces,1100.0,"[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""graphs""]","[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""graphs""]",https://codeforces.com/problemset/problem/2185/D,"{""layer"": ""pedagogical_graph"", ""technique"": ""graphs"", ""prerequisites"": [""graph_modeling"", ""dfs_bfs"", ""tree_invariants""], ""risks"": [""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root""], ""evidence"": ""We can use a lazy segment tree to simulate these operations.""}"
pi::pedagogy::approach::codeforces_2185_C::constructive,pi::problem::codeforces_2185_C,codeforces_2185_C,APPROACH,Shifted MEX - Constructive Approach,"This problem can be interpreted through constructive. Evidence: Shifted MEX

C. Shifted MEX
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

You are given an array of $n$ integers $a_1, a_2, \ldots, a_n$. You are allowed to perform the following operation once.
Select an integer $x$ (which may be negative), and for each value $i$ $(1 \leq i \leq n)$, set $a_i. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",4,13,codeforces,900.0,"[""implementation_constructive"", ""techniques"", ""constructive""]","[""implementation_constructive"", ""techniques""]",https://codeforces.com/problemset/problem/2185/C,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive"", ""prerequisites"": [""pattern_recognition"", ""case_splitting"", ""validity_proof""], ""risks"": [""invalid_construction"", ""edge_cases"", ""proof_gap""], ""evidence"": ""Shifted MEX\n\nC. Shifted MEX\ntime limit per test\n2 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nYou are given an array of $n$ integers $a_1, a_2, \\ldots, a_n$. You are allowed to perform the following operation once.\nSelect an integer $x$ (which may be negative), and for each value $i$ $(1 \\leq i \\leq n)$, set $a_i""}"
pi::pedagogy::approach::codeforces_2185_C::sorting,pi::problem::codeforces_2185_C,codeforces_2185_C,APPROACH,Shifted MEX - Sorting Approach,"This problem can be interpreted through sorting. Evidence: The simplest way to compute this would be to remove duplicate elements from the array, sort it, and find the longest sequential subarray.. Prerequisites: ordering_argument, tie_handling. Common risks: tie_handling, wrong_ordering.",4,13,codeforces,900.0,"[""implementation_constructive"", ""techniques"", ""sorting""]","[""implementation_constructive"", ""techniques""]",https://codeforces.com/problemset/problem/2185/C,"{""layer"": ""pedagogical_graph"", ""technique"": ""sorting"", ""prerequisites"": [""ordering_argument"", ""tie_handling""], ""risks"": [""tie_handling"", ""wrong_ordering""], ""evidence"": ""The simplest way to compute this would be to remove duplicate elements from the array, sort it, and find the longest sequential subarray.""}"
pi::pedagogy::approach::codeforces_2185_B::greedy,pi::problem::codeforces_2185_B,codeforces_2185_B,APPROACH,Prefix Max - Greedy Approach,"This problem can be interpreted through greedy. Evidence: You can choose two indices $i$ and $j$ and swap elements $a_i$ and $a_j$; this operation can be applied. Prerequisites: exchange_argument, invariant_reasoning, counterexample_testing. Common risks: wrong_proof, hidden_counterexample, edge_cases.",4,14,codeforces,800.0,"[""greedy""]","[""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2185/B,"{""layer"": ""pedagogical_graph"", ""technique"": ""greedy"", ""prerequisites"": [""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""], ""risks"": [""wrong_proof"", ""hidden_counterexample"", ""edge_cases""], ""evidence"": ""You can choose two indices $i$ and $j$ and swap elements $a_i$ and $a_j$; this operation can be applied""}"
pi::pedagogy::approach::codeforces_2185_B::prefix_sums,pi::problem::codeforces_2185_B,codeforces_2185_B,APPROACH,Prefix Max - Prefix Sums Approach,"This problem can be interpreted through prefix sums. Evidence: The value of an array is the sum of the maximums of each prefix of the array.. Prerequisites: range_aggregation, index_boundaries. Common risks: indexing_bug, off_by_one.",4,14,codeforces,800.0,"[""greedy"", ""prefix_sums""]","[""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2185/B,"{""layer"": ""pedagogical_graph"", ""technique"": ""prefix_sums"", ""prerequisites"": [""range_aggregation"", ""index_boundaries""], ""risks"": [""indexing_bug"", ""off_by_one""], ""evidence"": ""The value of an array is the sum of the maximums of each prefix of the array.""}"
pi::pedagogy::technique::direct_formula,pi::pedagogy::topic::math,,TECHNIQUE,Direct Formula,"Technique direct formula. Prerequisites: algebraic_modeling, integer_square_root, overflow_awareness. Common risks: precision_error, overflow, invalid_integer_root.",3,15,,,"[""direct_formula"", ""math""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""direct_formula""}"
pi::pedagogy::approach::codeforces_2185_A::direct_formula,pi::problem::codeforces_2185_A,codeforces_2185_A,APPROACH,Perfect Root - Direct Formula Approach,"This problem can be interpreted through direct formula. Evidence: A positive integer $x$ is a perfect root if there exists an integer $y$ such that $\sqrt{y} = x$.. Prerequisites: algebraic_modeling, integer_square_root, overflow_awareness. Common risks: precision_error, overflow, invalid_integer_root.",4,15,codeforces,800.0,"[""implementation_constructive"", ""math"", ""direct_formula""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2185/A,"{""layer"": ""pedagogical_graph"", ""technique"": ""direct_formula"", ""prerequisites"": [""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness""], ""risks"": [""precision_error"", ""overflow"", ""invalid_integer_root""], ""evidence"": ""A positive integer $x$ is a perfect root if there exists an integer $y$ such that $\\sqrt{y} = x$.""}"
pi::pedagogy::prerequisite::algebraic_modeling,pi::pedagogy::prerequisites,,PREREQUISITE,Algebraic Modeling,Prerequisite skill: algebraic modeling.,3,15,,,"[""algebraic_modeling""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""algebraic_modeling""}"
pi::pedagogy::prerequisite::integer_square_root,pi::pedagogy::prerequisites,,PREREQUISITE,Integer Square Root,Prerequisite skill: integer square root.,3,15,,,"[""integer_square_root""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""integer_square_root""}"
pi::pedagogy::prerequisite::overflow_awareness,pi::pedagogy::prerequisites,,PREREQUISITE,Overflow Awareness,Prerequisite skill: overflow awareness.,3,15,,,"[""overflow_awareness""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""overflow_awareness""}"
pi::pedagogy::risk::precision_error,pi::pedagogy::risks,,RISK,Precision Error,Common risk: precision error. Useful for hinting and answer validation.,3,15,,,"[""precision_error""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""precision_error""}"
pi::pedagogy::risk::invalid_integer_root,pi::pedagogy::risks,,RISK,Invalid Integer Root,Common risk: invalid integer root. Useful for hinting and answer validation.,3,15,,,"[""invalid_integer_root""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""invalid_integer_root""}"
pi::pedagogy::approach::codeforces_2167_G::data_structures,pi::problem::codeforces_2167_G,codeforces_2167_G,APPROACH,Mukhammadali and the Smooth Array - Data Structures Approach,"This problem can be interpreted through data structures. Evidence: Mukhammadali and the Smooth Array

G. Mukhammadali and the Smooth Array
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

Muhammadali has an integer array $a_1,\dots,a_n$. He can change (replace) any subset of positions; changing position $i$ costs $c_i$ and replaces $a_i$ with any integer of his. Prerequisites: operation_invariants, complexity_tradeoffs. Common risks: stale_update, wrong_query_range, complexity_bug.",4,16,codeforces,1600.0,"[""data_structures"", ""dynamic_programming""]","[""data_structures"", ""dynamic_programming""]",https://codeforces.com/problemset/problem/2167/G,"{""layer"": ""pedagogical_graph"", ""technique"": ""data_structures"", ""prerequisites"": [""operation_invariants"", ""complexity_tradeoffs""], ""risks"": [""stale_update"", ""wrong_query_range"", ""complexity_bug""], ""evidence"": ""Mukhammadali and the Smooth Array\n\nG. Mukhammadali and the Smooth Array\ntime limit per test\n1 second\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nMuhammadali has an integer array $a_1,\\dots,a_n$. He can change (replace) any subset of positions; changing position $i$ costs $c_i$ and replaces $a_i$ with any integer of his""}"
pi::pedagogy::approach::codeforces_2167_G::dynamic_programming,pi::problem::codeforces_2167_G,codeforces_2167_G,APPROACH,Mukhammadali and the Smooth Array - Dynamic Programming Approach,"This problem can be interpreted through dynamic programming. Evidence: Let $dp[i]$ be the maximum sum of $c$ in a non-decreasing subsequence that ends at index $i$.. Prerequisites: state_design, transition_reasoning, base_cases. Common risks: wrong_state, missing_base_case, bad_complexity.",4,16,codeforces,1600.0,"[""data_structures"", ""dynamic_programming""]","[""data_structures"", ""dynamic_programming""]",https://codeforces.com/problemset/problem/2167/G,"{""layer"": ""pedagogical_graph"", ""technique"": ""dynamic_programming"", ""prerequisites"": [""state_design"", ""transition_reasoning"", ""base_cases""], ""risks"": [""wrong_state"", ""missing_base_case"", ""bad_complexity""], ""evidence"": ""Let $dp[i]$ be the maximum sum of $c$ in a non-decreasing subsequence that ends at index $i$.""}"
pi::pedagogy::approach::codeforces_2167_F::dynamic_programming,pi::problem::codeforces_2167_F,codeforces_2167_F,APPROACH,"Tree, TREE!!! - Dynamic Programming Approach","This problem can be interpreted through dynamic programming. Evidence: dfs and similar dp math trees. Prerequisites: state_design, transition_reasoning, base_cases. Common risks: wrong_state, missing_base_case, bad_complexity.",4,17,codeforces,1600.0,"[""graphs"", ""dynamic_programming"", ""math""]","[""graphs"", ""dynamic_programming"", ""math"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2167/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""dynamic_programming"", ""prerequisites"": [""state_design"", ""transition_reasoning"", ""base_cases""], ""risks"": [""wrong_state"", ""missing_base_case"", ""bad_complexity""], ""evidence"": ""dfs and similar dp math trees""}"
pi::pedagogy::approach::codeforces_2167_F::graphs,pi::problem::codeforces_2167_F,codeforces_2167_F,APPROACH,"Tree, TREE!!! - Graphs Approach","This problem can be interpreted through graphs. Evidence: $^{\text{∗}}$ A tree is a connected graph without cycles.. Prerequisites: graph_modeling, dfs_bfs, tree_invariants. Common risks: visited_state_bug, recursion_depth, wrong_tree_root.",4,17,codeforces,1600.0,"[""graphs"", ""dynamic_programming"", ""math""]","[""graphs"", ""dynamic_programming"", ""math"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2167/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""graphs"", ""prerequisites"": [""graph_modeling"", ""dfs_bfs"", ""tree_invariants""], ""risks"": [""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root""], ""evidence"": ""$^{\\text{∗}}$ A tree is a connected graph without cycles.""}"
pi::pedagogy::approach::codeforces_2167_F::direct_formula,pi::problem::codeforces_2167_F,codeforces_2167_F,APPROACH,"Tree, TREE!!! - Direct Formula Approach","This problem can be interpreted through direct formula. Evidence: Now that we know the condition, our task is now just to derive the formula to calculate.. Prerequisites: algebraic_modeling, integer_square_root, overflow_awareness. Common risks: precision_error, overflow, invalid_integer_root.",4,17,codeforces,1600.0,"[""graphs"", ""dynamic_programming"", ""math"", ""direct_formula""]","[""graphs"", ""dynamic_programming"", ""math"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2167/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""direct_formula"", ""prerequisites"": [""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness""], ""risks"": [""precision_error"", ""overflow"", ""invalid_integer_root""], ""evidence"": ""Now that we know the condition, our task is now just to derive the formula to calculate.""}"
pi::pedagogy::approach::codeforces_2167_F::greedy,pi::problem::codeforces_2167_F,codeforces_2167_F,APPROACH,"Tree, TREE!!! - Greedy Approach","This problem can be interpreted through greedy. Evidence: If $sz_{i} \geq k$, it implies that we can choose $k - 1$ nodes in the subtree of $i$ other than $i$ and $i$ itself, it gives $i$ as a result.. Prerequisites: exchange_argument, invariant_reasoning, counterexample_testing. Common risks: wrong_proof, hidden_counterexample, edge_cases.",4,17,codeforces,1600.0,"[""graphs"", ""dynamic_programming"", ""math"", ""greedy""]","[""graphs"", ""dynamic_programming"", ""math"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2167/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""greedy"", ""prerequisites"": [""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""], ""risks"": [""wrong_proof"", ""hidden_counterexample"", ""edge_cases""], ""evidence"": ""If $sz_{i} \\geq k$, it implies that we can choose $k - 1$ nodes in the subtree of $i$ other than $i$ and $i$ itself, it gives $i$ as a result.""}"
pi::pedagogy::approach::codeforces_2167_F::sorting,pi::problem::codeforces_2167_F,codeforces_2167_F,APPROACH,"Tree, TREE!!! - Sorting Approach","This problem can be interpreted through sorting. Evidence: In order for $i$ to be able to be in the $S_{r}$: $sz_{i} \geq k$ must hold.. Prerequisites: ordering_argument, tie_handling. Common risks: tie_handling, wrong_ordering.",4,17,codeforces,1600.0,"[""graphs"", ""dynamic_programming"", ""math"", ""sorting""]","[""graphs"", ""dynamic_programming"", ""math"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2167/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""sorting"", ""prerequisites"": [""ordering_argument"", ""tie_handling""], ""risks"": [""tie_handling"", ""wrong_ordering""], ""evidence"": ""In order for $i$ to be able to be in the $S_{r}$: $sz_{i} \\geq k$ must hold.""}"
pi::pedagogy::approach::codeforces_2167_E::binary_search,pi::problem::codeforces_2167_E,codeforces_2167_E,APPROACH,khba Loves to Sleep! - Binary Search Approach,"This problem can be interpreted through binary search. Evidence: Therefore, we can perform a binary search on the value of $m$.. Prerequisites: monotonic_predicate, bounds_reasoning, integer_overflow_awareness. Common risks: wrong_bounds, off_by_one, missing_monotonicity_proof.",4,18,codeforces,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive"", ""binary_search""]","[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2167/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""binary_search"", ""prerequisites"": [""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness""], ""risks"": [""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof""], ""evidence"": ""Therefore, we can perform a binary search on the value of $m$.""}"
pi::pedagogy::approach::codeforces_2167_E::data_structures,pi::problem::codeforces_2167_E,codeforces_2167_E,APPROACH,khba Loves to Sleep! - Data Structures Approach,"This problem can be interpreted through data structures. Evidence: khba Loves to Sleep!

E. khba Loves to Sleep!
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

khba has $n$ friends, each standing on a line at position $a_i$, and each of them is in the range $[0, x]$.
They all want to come to him. One of his friends, Isamatdin, gave him $k$ teleports. Each. Prerequisites: operation_invariants, complexity_tradeoffs. Common risks: stale_update, wrong_query_range, complexity_bug.",4,18,codeforces,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]","[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2167/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""data_structures"", ""prerequisites"": [""operation_invariants"", ""complexity_tradeoffs""], ""risks"": [""stale_update"", ""wrong_query_range"", ""complexity_bug""], ""evidence"": ""khba Loves to Sleep!\n\nE. khba Loves to Sleep!\ntime limit per test\n3 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nkhba has $n$ friends, each standing on a line at position $a_i$, and each of them is in the range $[0, x]$.\nThey all want to come to him. One of his friends, Isamatdin, gave him $k$ teleports. Each""}"
pi::pedagogy::approach::codeforces_2167_E::greedy,pi::problem::codeforces_2167_E,codeforces_2167_E,APPROACH,khba Loves to Sleep! - Greedy Approach,"This problem can be interpreted through greedy. Evidence: binary search data structures geometry greedy implementation. Prerequisites: exchange_argument, invariant_reasoning, counterexample_testing. Common risks: wrong_proof, hidden_counterexample, edge_cases.",4,18,codeforces,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]","[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2167/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""greedy"", ""prerequisites"": [""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""], ""risks"": [""wrong_proof"", ""hidden_counterexample"", ""edge_cases""], ""evidence"": ""binary search data structures geometry greedy implementation""}"
pi::pedagogy::approach::codeforces_2167_E::constructive,pi::problem::codeforces_2167_E,codeforces_2167_E,APPROACH,khba Loves to Sleep! - Constructive Approach,"This problem can be interpreted through constructive. Evidence: khba Loves to Sleep!

E. khba Loves to Sleep!
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

khba has $n$ friends, each standing on a line at position $a_i$, and each of them is in the range $[0, x]$.
They all want to come to him. One of his friends, Isamatdin, gave him $k$ teleports. Each. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",4,18,codeforces,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive"", ""constructive""]","[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2167/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive"", ""prerequisites"": [""pattern_recognition"", ""case_splitting"", ""validity_proof""], ""risks"": [""invalid_construction"", ""edge_cases"", ""proof_gap""], ""evidence"": ""khba Loves to Sleep!\n\nE. khba Loves to Sleep!\ntime limit per test\n3 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nkhba has $n$ friends, each standing on a line at position $a_i$, and each of them is in the range $[0, x]$.\nThey all want to come to him. One of his friends, Isamatdin, gave him $k$ teleports. Each""}"
pi::pedagogy::approach::codeforces_2167_E::sorting,pi::problem::codeforces_2167_E,codeforces_2167_E,APPROACH,khba Loves to Sleep! - Sorting Approach,"This problem can be interpreted through sorting. Evidence: Let us add the values $-10^9$ and $10^9$ to the array $a$, update $n$, and sort the array.. Prerequisites: ordering_argument, tie_handling. Common risks: tie_handling, wrong_ordering.",4,18,codeforces,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive"", ""sorting""]","[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2167/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""sorting"", ""prerequisites"": [""ordering_argument"", ""tie_handling""], ""risks"": [""tie_handling"", ""wrong_ordering""], ""evidence"": ""Let us add the values $-10^9$ and $10^9$ to the array $a$, update $n$, and sort the array.""}"
pi::pedagogy::approach::codeforces_2167_D::brute_force,pi::problem::codeforces_2167_D,codeforces_2167_D,APPROACH,Yet Another Array Problem - Brute Force Approach,"This problem can be interpreted through brute force. Evidence: Thus, it is sufficient to check the first prime numbers up to $53$ using brute force (inclusive).. Prerequisites: constraint_reading, complexity_estimation. Common risks: tle, bad_complexity.",4,19,codeforces,1000.0,"[""implementation_constructive"", ""math"", ""brute_force""]","[""implementation_constructive"", ""math"", ""greedy""]",https://codeforces.com/problemset/problem/2167/D,"{""layer"": ""pedagogical_graph"", ""technique"": ""brute_force"", ""prerequisites"": [""constraint_reading"", ""complexity_estimation""], ""risks"": [""tle"", ""bad_complexity""], ""evidence"": ""Thus, it is sufficient to check the first prime numbers up to $53$ using brute force (inclusive).""}"
