node_id,parent_node_id,global_problem_id,node_type,title,text,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,metadata
pi::page::codeforces_2065_H_01_STATEMENT,pi::problem::codeforces_2065_H,codeforces_2065_H,STATEMENT,Bro Thinks He's Him - Statement,"H. Bro Thinks He's Him
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Skibidus thinks he's Him! He proved it by solving this difficult task. Can you also prove yourself?
Given a binary string $^{\text{∗}}$ $t$, $f(t)$ is defined as the minimum number of contiguous substrings, each consisting of identical characters, into which $t$ can be partitioned. For example, $f(\texttt{00110001}) = 4$ because $t$ can be partitioned as $\texttt{[00][11][000][1]}$ where each bracketed segment consists of identical characters.
Skibidus gives you a binary string $s$ and $q$ queries. In each query, a single character of the string is flipped (i.e. $\texttt{0}$ changes to $\texttt{1}$ and $\texttt{1}$ changes to $\texttt{0}$); changes are saved after the query is processed. After each query, output the sum over all $f(b)$ where $b$ is a non-empty subsequence $^{\text{†}}$ of $s$, modulo $998\,244\,353$.
$^{\text{∗}}$ A binary string consists of only characters $\texttt{0}$ and $\texttt{1}$.
$^{\text{†}}$ A subsequence of a string is a string which can be obtained by removing several (possibly zero) characters from the original string.",4,1,codeforces,2200.0,"[""math"", ""data_structures"", ""techniques"", ""dynamic_programming""]","[""math"", ""data_structures"", ""techniques"", ""dynamic_programming""]",https://codeforces.com/problemset/problem/2065/H,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2065/H"", ""normalized_tags"": [""math"", ""data_structures"", ""techniques"", ""dynamic_programming""], ""topic_group"": [""math"", ""data_structures"", ""techniques"", ""dynamic_programming""], ""difficulty"": 2200.0, ""source_page_node_id"": ""codeforces_2065_H::01_STATEMENT""}"
pi::page::codeforces_2094_A_01_STATEMENT,pi::problem::codeforces_2094_A,codeforces_2094_A,STATEMENT,Trippi Troppi - Statement,"A. Trippi Troppi
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

Trippi Troppi resides in a strange world. The ancient name of each country consists of three strings. The first letter of each string is concatenated to form the country's modern name.
Given the country's ancient name, please output the modern name.",4,1,codeforces,800.0,"[""strings""]","[""strings""]",https://codeforces.com/problemset/problem/2094/A,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/A"", ""normalized_tags"": [""strings""], ""topic_group"": [""strings""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2094_A::01_STATEMENT""}"
pi::page::codeforces_2094_B_01_STATEMENT,pi::problem::codeforces_2094_B,codeforces_2094_B,STATEMENT,Bobritto Bandito - Statement,"B. Bobritto Bandito
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

In Bobritto Bandito's home town of residence, there are an infinite number of houses on an infinite number line, with houses at $\ldots, -2, -1, 0, 1, 2, \ldots$. On day $0$, he started a plague by giving an infection to the unfortunate residents of house $0$. Each succeeding day, the plague spreads to
exactly one
healthy household that is next to an infected household. It can be shown that each day the infected houses form a continuous segment.
Let the segment starting at the $l$-th house and ending at the $r$-th house be denoted as $[l, r]$. You know that after $n$ days, the segment $[l, r]$ became infected. Find any such segment $[l', r']$ that could have been infected on the $m$-th day ($m \le n$).",4,1,codeforces,800.0,"[""implementation_constructive""]","[""implementation_constructive""]",https://codeforces.com/problemset/problem/2094/B,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/B"", ""normalized_tags"": [""implementation_constructive""], ""topic_group"": [""implementation_constructive""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2094_B::01_STATEMENT""}"
pi::page::codeforces_2094_C_01_STATEMENT,pi::problem::codeforces_2094_C,codeforces_2094_C,STATEMENT,Brr Brrr Patapim - Statement,"C. Brr Brrr Patapim
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Brr Brrr Patapim is trying to learn of Tiramisù's secret passcode, which is a permutation $^{\text{∗}}$ of $2\cdot n$ elements. To help Patapim guess, Tiramisù gave him an $n\times n$ grid $G$, in which $G_{i,j}$ (or the element in the $i$-th row and $j$-th column of the grid) contains $p_{i+j}$, or the $(i+j)$-th element in the permutation.
Given this grid, please help Patapim crack the forgotten code. It is guaranteed that the permutation exists, and it can be shown that the permutation can be determined uniquely.
$^{\text{∗}}$ A permutation of $m$ integers is a sequence of $m$ integers which contains each of $1,2,\ldots,m$ exactly once. For example, $[1, 3, 2]$ and $[2, 1]$ are permutations, while $[1, 2, 4]$ and $[1, 3, 2, 3]$ are not.",4,1,codeforces,900.0,"[""math""]","[""math""]",https://codeforces.com/problemset/problem/2094/C,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/C"", ""normalized_tags"": [""math""], ""topic_group"": [""math""], ""difficulty"": 900.0, ""source_page_node_id"": ""codeforces_2094_C::01_STATEMENT""}"
pi::page::codeforces_2094_D_01_STATEMENT,pi::problem::codeforces_2094_D,codeforces_2094_D,STATEMENT,Tung Tung Sahur - Statement,"D. Tung Tung Sahur
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

You have two drums in front of you: a left drum and a right drum. A hit on the left can be recorded as ""
L
"", and a hit on the right as ""
R
"".
The strange forces that rule this world are fickle: sometimes, a blow sounds once, and sometimes it sounds twice. Therefore, a hit on the left drum could have sounded as either ""
L
"" or ""
LL
"", and a hit on the right drum could have sounded as either ""
R
"" or ""
RR
"".
The sequence of hits made is recorded in the string $p$, and the sounds heard are in the string $s$. Given $p$ and $s$, determine whether it is true that the string $s$ could have been the result of the hits from the string $p$.
For example, if $p=$""
LR
"", then the result of the hits could be any of the strings ""
LR
"", ""
LRR
"", ""
LLR
"", and ""
LLRR
"", but the strings ""
LLLR
"" or ""
LRL
"" cannot.",4,1,codeforces,1100.0,"[""greedy"", ""strings"", ""techniques""]","[""greedy"", ""strings"", ""techniques""]",https://codeforces.com/problemset/problem/2094/D,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/D"", ""normalized_tags"": [""greedy"", ""strings"", ""techniques""], ""topic_group"": [""greedy"", ""strings"", ""techniques""], ""difficulty"": 1100.0, ""source_page_node_id"": ""codeforces_2094_D::01_STATEMENT""}"
pi::page::codeforces_2094_E_01_STATEMENT,pi::problem::codeforces_2094_E,codeforces_2094_E,STATEMENT,Boneca Ambalabu - Statement,"E. Boneca Ambalabu
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Boneca Ambalabu gives you a sequence of $n$ integers $a_1,a_2,\ldots,a_n$.
Output the maximum value of $(a_k\oplus a_1)+(a_k\oplus a_2)+\ldots+(a_k\oplus a_n)$ among all $1 \leq k \leq n$. Note that $\oplus$ denotes the
bitwise XOR operation
.",4,1,codeforces,1200.0,"[""data_structures""]","[""data_structures""]",https://codeforces.com/problemset/problem/2094/E,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/E"", ""normalized_tags"": [""data_structures""], ""topic_group"": [""data_structures""], ""difficulty"": 1200.0, ""source_page_node_id"": ""codeforces_2094_E::01_STATEMENT""}"
pi::page::codeforces_2094_F_01_STATEMENT,pi::problem::codeforces_2094_F,codeforces_2094_F,STATEMENT,Trulimero Trulicina - Statement,"F. Trulimero Trulicina
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Trulicina gives you integers $n$, $m$, and $k$. It is guaranteed that $k\geq 2$ and $n\cdot m\equiv 0 \pmod{k}$.
Output a $n$ by $m$ grid of integers such that each of the following criteria hold:
Each integer in the grid is between $1$ and $k$, inclusive.
Each integer from $1$ to $k$ appears an equal number of times.
No two cells that share an edge have the same integer.
It can be shown that such a grid always exists. If there are multiple solutions, output any.",4,1,codeforces,1600.0,"[""implementation_constructive""]","[""implementation_constructive""]",https://codeforces.com/problemset/problem/2094/F,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/F"", ""normalized_tags"": [""implementation_constructive""], ""topic_group"": [""implementation_constructive""], ""difficulty"": 1600.0, ""source_page_node_id"": ""codeforces_2094_F::01_STATEMENT""}"
pi::page::codeforces_2094_G_01_STATEMENT,pi::problem::codeforces_2094_G,codeforces_2094_G,STATEMENT,Chimpanzini Bananini - Statement,"G. Chimpanzini Bananini
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Chimpanzini Bananini stands on the brink of a momentous battle-one destined to bring finality.
For an arbitrary array $b$ of length $m$, let's denote the
rizziness
of the array to be $\sum_{i=1}^mb_i\cdot i=b_1\cdot 1+b_2\cdot 2+b_3\cdot 3+\ldots + b_m\cdot m$.
Chimpanzini Bananini gifts you an empty array. There are three types of operations you can perform on it.
Perform a cyclic shift on the array. That is, the array $[a_1, a_2, \ldots, a_n]$ becomes $[a_n, a_1, a_2, \ldots, a_{n-1}].$
Reverse the entire array. That is, the array $[a_1, a_2, \ldots, a_n]$ becomes $[a_n, a_{n-1}, \ldots, a_1].$
Append an element to the end of the array. The array $[a_1, a_2, \ldots, a_n]$ becomes $[a_1, a_2, \ldots, a_n, k]$ after appending $k$ to the end of the array.
After each operation, you are interested in calculating the
rizziness
of your array.
Note that all operations are
persistent
. This means that each operation modifies the array, and subsequent operations should be applied to the current state of the array after the previous operations.",4,1,codeforces,1700.0,"[""data_structures"", ""implementation_constructive"", ""math""]","[""data_structures"", ""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2094/G,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/G"", ""normalized_tags"": [""data_structures"", ""implementation_constructive"", ""math""], ""topic_group"": [""data_structures"", ""implementation_constructive"", ""math""], ""difficulty"": 1700.0, ""source_page_node_id"": ""codeforces_2094_G::01_STATEMENT""}"
pi::page::codeforces_2094_H_01_STATEMENT,pi::problem::codeforces_2094_H,codeforces_2094_H,STATEMENT,La Vaca Saturno Saturnita - Statement,"H. La Vaca Saturno Saturnita
time limit per test
4 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Saturnita's mood depends on an array $a$ of length $n$, which only he knows the meaning of, and a function $f(k, a, l, r)$, which only he knows how to compute. Shown below is the pseudocode for his function $f(k, a, l, r)$.
function f(k, a, l, r):
ans := 0
for i from l to r (inclusive):
while k is divisible by a[i]:
k := k/a[i]
ans := ans + k
return ans
You are given $q$ queries, each containing integers $k$, $l$, and $r$. For each query, please output $f(k,a,l,r)$.",4,1,codeforces,1900.0,"[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2094/H,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/H"", ""normalized_tags"": [""techniques"", ""implementation_constructive"", ""math""], ""topic_group"": [""techniques"", ""implementation_constructive"", ""math""], ""difficulty"": 1900.0, ""source_page_node_id"": ""codeforces_2094_H::01_STATEMENT""}"
pi::page::codeforces_2148_A_01_STATEMENT,pi::problem::codeforces_2148_A,codeforces_2148_A,STATEMENT,Sublime Sequence - Statement,"A. Sublime Sequence
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

Farmer John has an integer $x$. He creates a sequence of length $n$ by alternating integers $x$ and $-x$, starting with $x$.
For example, if $n = 5$, the sequence looks like: $x, -x, x, -x, x$.
He asks you to find the sum of all integers in the sequence.",4,1,codeforces,800.0,"[""implementation_constructive"", ""data_structures"", ""math""]","[""implementation_constructive"", ""data_structures"", ""math""]",https://codeforces.com/problemset/problem/2148/A,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/A"", ""normalized_tags"": [""implementation_constructive"", ""data_structures"", ""math""], ""topic_group"": [""implementation_constructive"", ""data_structures"", ""math""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2148_A::01_STATEMENT""}"
pi::page::codeforces_2148_B_01_STATEMENT,pi::problem::codeforces_2148_B,codeforces_2148_B,STATEMENT,Lasers - Statement,"B. Lasers
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

There is a 2D-coordinate plane that ranges from $(0,0)$ to $(x, y)$. You are located at $(0,0)$ and want to head to $(x, y)$.
However, there are $n$ horizontal lasers, with the $i$-th laser continuously spanning $(0, a_i)$ to $(x, a_i)$. Additionally, there are also $m$ vertical lasers, with the $i$-th laser continuously spanning $(b_i, 0)$ to $(b_i, y)$.
You may move in any direction to reach $(x, y)$, but your movement must be a continuous curve that lies inside the plane. Every time you cross a vertical or a horizontal laser, it counts as one crossing. Particularly, if you pass through an intersection point between two lasers, it counts as
two crossings
.
For example, if $x = y = 2$, $n = m = 1$, $a = [1]$, $b = [1]$, the movement can be as follows:
What is the minimum number of crossings necessary to reach $(x, y)$?",4,1,codeforces,800.0,"[""math""]","[""math""]",https://codeforces.com/problemset/problem/2148/B,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/B"", ""normalized_tags"": [""math""], ""topic_group"": [""math""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2148_B::01_STATEMENT""}"
pi::page::codeforces_2148_C_01_STATEMENT,pi::problem::codeforces_2148_C,codeforces_2148_C,STATEMENT,Pacer - Statement,"C. Pacer
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

The FitnessGram Pacer Test is a multistage aerobic capacity test that progressively gets more difficult as it continues. The 20 meter pacer test will begin in 30 seconds. Line up at the start. A single lap should be completed every time you hear this sound. Ding! Remember to run in a straight line and run as long as possible. The test will begin on the word start. On your mark. Get ready!...
Farmer John is running the FitnessGram Pacer Test! Farmer John takes
one minute
to run to the other side of the gym. Therefore, at the start of each minute, FJ can choose to either run to the other side of the gym or stay in place. If he chooses to run to the other side of the gym, he gains
one point
.
FJ will run the Pacer Test until the start of the $m$-th minute. Initially (at the start of the $0$-th minute), FJ is at the starting side of the gym, which we will denote as side $0$. The opposite side of the gym is denoted side $1$.
The pacer test audio plays $n$ times. At the start of the $a_i$-th minute, FJ must be at the $b_i$-th side of the gym.
What is the maximum number of points FJ can acquire while ensuring that he meets the audio's requirements?",4,1,codeforces,900.0,"[""greedy"", ""math""]","[""greedy"", ""math""]",https://codeforces.com/problemset/problem/2148/C,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/C"", ""normalized_tags"": [""greedy"", ""math""], ""topic_group"": [""greedy"", ""math""], ""difficulty"": 900.0, ""source_page_node_id"": ""codeforces_2148_C::01_STATEMENT""}"
pi::page::codeforces_2148_D_01_STATEMENT,pi::problem::codeforces_2148_D,codeforces_2148_D,STATEMENT,Destruction of the Dandelion Fields - Statement,"D. Destruction of the Dandelion Fields
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Farmer John has a lawnmower, initially turned off. He also has $n$ fields, with the $i$-th field having $a_i$ dandelions. He will visit all the fields in any order he wants, and each field
exactly once
.
FJ's lawnmower seems to have a mind of its own. Right before visiting a field, it checks if the field has an even or odd number of dandelions. If it has an odd number, then the lawnmower toggles its state (if it is off, it turns on; if it is on, it turns off). Then, if the lawnmower is on, it will cut all dandelions in that field. Otherwise, if the lawnmower is off, then FJ will simply visit the field and cut no dandelions.
If FJ visits the $n$ fields in optimal order, what is the maximum total number of dandelions he can cut?",4,1,codeforces,1000.0,"[""implementation_constructive"", ""greedy"", ""techniques""]","[""implementation_constructive"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2148/D,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/D"", ""normalized_tags"": [""implementation_constructive"", ""greedy"", ""techniques""], ""topic_group"": [""implementation_constructive"", ""greedy"", ""techniques""], ""difficulty"": 1000.0, ""source_page_node_id"": ""codeforces_2148_D::01_STATEMENT""}"
pi::page::codeforces_2148_E_01_STATEMENT,pi::problem::codeforces_2148_E,codeforces_2148_E,STATEMENT,Split - Statement,"E. Split
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Farmer John has an array $a$ containing $n$ positive integers and an integer $k$.
Let $a[l, r]$ be a subarray $^{\text{∗}}$ of $a$. He performs the following procedure to independently determine if subarray $a[l, r]$ is awesome:
Initially, FJ has $k$ empty
multisets
, numbered from $1$ to $k$.
Then, for each element $a_i$ ($1 \leq i \leq n$) in $a$:
If $l\leq i\leq r$ (that is, $a_i$ is in the subarray $a[l, r]$), he places $a_i$ in multiset $1$,
Otherwise, he places $a_i$ into any multiset he wants
(which may be multiset $1$)
.
Subarray $a[l, r]$ is awesome if there is some way for him to place elements such that, for every value $v$, all multisets contain the same number of elements with value $v$. In other words, he wants to make all multisets contain the exact same elements (ignoring ordering).
Output the number of awesome subarrays.
$^{\text{∗}}$ For array $a$ of size $n$ and integers $1\leq l\leq r\leq n$, the subarray $a[l, r]$ denotes the array consisting of the elements $a_l, \ldots, a_r$, in order.",4,1,codeforces,1200.0,"[""techniques"", ""data_structures""]","[""techniques"", ""data_structures""]",https://codeforces.com/problemset/problem/2148/E,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/E"", ""normalized_tags"": [""techniques"", ""data_structures""], ""topic_group"": [""techniques"", ""data_structures""], ""difficulty"": 1200.0, ""source_page_node_id"": ""codeforces_2148_E::01_STATEMENT""}"
pi::page::codeforces_2148_F_01_STATEMENT,pi::problem::codeforces_2148_F,codeforces_2148_F,STATEMENT,Gravity Falls - Statement,"F. Gravity Falls
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Farmer John has $n$ arrays $a_1, a_2, \ldots, a_n$ that may have different lengths. He will stack the arrays on top of each other, resulting in a grid with $n$ rows. The arrays are left-aligned and can be stacked in any order he desires.
Then, gravity will take place. Any cell that is not on the bottom row and does not have an element beneath it will fall down a row. This process will be repeated until there are no cells that satisfy the aforementioned constraint.
Over all possible ways FJ can stack the arrays, output the lexicographically minimum bottom row after gravity takes place.",4,1,codeforces,1800.0,"[""greedy"", ""implementation_constructive"", ""techniques""]","[""greedy"", ""implementation_constructive"", ""techniques""]",https://codeforces.com/problemset/problem/2148/F,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/F"", ""normalized_tags"": [""greedy"", ""implementation_constructive"", ""techniques""], ""topic_group"": [""greedy"", ""implementation_constructive"", ""techniques""], ""difficulty"": 1800.0, ""source_page_node_id"": ""codeforces_2148_F::01_STATEMENT""}"
pi::page::codeforces_2148_G_01_STATEMENT,pi::problem::codeforces_2148_G,codeforces_2148_G,STATEMENT,Farmer John's Last Wish - Statement,"G. Farmer John's Last Wish
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Bessie has found an array $a$ of length $n$ on the floor. There appears to be a handwritten note lying next to the array, seemingly written by Farmer John. The note reads:
Help me, dear Bessie! Let $f(a)$ denote the maximum integer $k$ in the range $[1,n)$ such that $\gcd(a_1, a_2, \ldots, a_k) \gt \gcd(a_1, a_2, \ldots, a_{k+1})$, or $0$ if no such $k$ exists.
Bessie decides to help FJ. She defines $g(a)$ to represent the maximum value of $f(a)$ over all possible reorderings of $a$.
Bessie decides to not only find $g(a)$, but also the value of $g(p)$ for all prefixes $p$ of $a$. Output $n$ integers, the $i$'th of which is $g([a_1, a_2, \ldots, a_i])$.",4,1,codeforces,1900.0,"[""techniques"", ""data_structures"", ""math""]","[""techniques"", ""data_structures"", ""math""]",https://codeforces.com/problemset/problem/2148/G,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2148/G"", ""normalized_tags"": [""techniques"", ""data_structures"", ""math""], ""topic_group"": [""techniques"", ""data_structures"", ""math""], ""difficulty"": 1900.0, ""source_page_node_id"": ""codeforces_2148_G::01_STATEMENT""}"
pi::page::codeforces_2167_A_01_STATEMENT,pi::problem::codeforces_2167_A,codeforces_2167_A,STATEMENT,Square? - Statement,"A. Square?
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

You are given $4$ sticks of lengths $a$, $b$, $c$, and $d$. You can not break or bend them.
Determine whether it is possible to form a square $^{\text{∗}}$ using the given sticks.
$^{\text{∗}}$ A
square
is defined as a polygon consisting of $4$ vertices, of which all sides have equal length and all inner angles are equal. No two edges of the polygon may intersect each other.",4,1,codeforces,800.0,"[""math"", ""techniques""]","[""math"", ""techniques""]",https://codeforces.com/problemset/problem/2167/A,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/A"", ""normalized_tags"": [""math"", ""techniques""], ""topic_group"": [""math"", ""techniques""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2167_A::01_STATEMENT""}"
pi::page::codeforces_2167_B_01_STATEMENT,pi::problem::codeforces_2167_B,codeforces_2167_B,STATEMENT,Your Name - Statement,"B. Your Name
time limit per test
1 second
memory limit per test
256 megabytes
input
standard input
output
standard output

khba is writing his girlfriend's name. He has $n$ cubes, each with one lowercase Latin letter written on it. They are arranged in a row, forming a string $s$. His girlfriend's name is also a string $t$, consisting of $n$ lowercase Latin letters.
To prove his love, he must check whether it is possible to rearrange the letters of string $s$ so that it becomes her name $t$.",4,1,codeforces,800.0,"[""techniques"", ""strings""]","[""techniques"", ""strings""]",https://codeforces.com/problemset/problem/2167/B,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/B"", ""normalized_tags"": [""techniques"", ""strings""], ""topic_group"": [""techniques"", ""strings""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2167_B::01_STATEMENT""}"
pi::page::codeforces_2167_C_01_STATEMENT,pi::problem::codeforces_2167_C,codeforces_2167_C,STATEMENT,Isamatdin and His Magic Wand! - Statement,"C. Isamatdin and His Magic Wand!
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Isamatdin has $n$ toys arranged in a row. The $i$-th toy has an integer $a_i$. He wanted to sort them because otherwise, his mother would scold him.
However, Isamatdin never liked arranging toys in order, so his friend JahonaliX gave him a magic wand to help. Unfortunately, JahonaliX made a small mistake while creating the wand.
But Isamatdin couldn't wait any longer and decided to use the broken wand anyway. The wand can only swap two toys if their integers have
different parity
(one is even, the other is odd). In other words, you can swap toys in positions $(i, j)$ only if $a_i \bmod 2 \neq a_j \bmod 2$, where $\bmod$ - is the remainder of integer division.
Now he wants to know the
lexicographically smallest
$^{\text{∗}}$ arrangement he can achieve using this broken wand.
$^{\text{∗}}$ A sequence $p$ is
lexicographically smaller
than a sequence $q$ if there exists an index $i$ such that $p_j = q_j$ for all $j \lt i$, and $p_i \lt q_i$.",4,1,codeforces,800.0,"[""implementation_constructive"", ""greedy"", ""techniques""]","[""implementation_constructive"", ""greedy"", ""techniques""]",https://codeforces.com/problemset/problem/2167/C,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/C"", ""normalized_tags"": [""implementation_constructive"", ""greedy"", ""techniques""], ""topic_group"": [""implementation_constructive"", ""greedy"", ""techniques""], ""difficulty"": 800.0, ""source_page_node_id"": ""codeforces_2167_C::01_STATEMENT""}"
pi::page::codeforces_2167_D_01_STATEMENT,pi::problem::codeforces_2167_D,codeforces_2167_D,STATEMENT,Yet Another Array Problem - Statement,"D. Yet Another Array Problem
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

You are given an integer $n$ and an array $a$ of length $n$.
Find the
smallest
integer $x$ ($2 \le x \le 10^{18}$) such that there exists an index $i$ ($1 \le i \le n$) with
$\gcd$
$^{\text{∗}}$ $(a_i, x) = 1$. If no such $x$ exists within the range $[2,10^{18}]$, output $-1$.
$^{\text{∗}}$ $\gcd(x, y)$ denotes the
greatest common divisor (GCD)
of integers $x$ and $y$.",4,1,codeforces,1000.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2167/D,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/D"", ""normalized_tags"": [""implementation_constructive"", ""math""], ""topic_group"": [""implementation_constructive"", ""math""], ""difficulty"": 1000.0, ""source_page_node_id"": ""codeforces_2167_D::01_STATEMENT""}"
pi::page::codeforces_2167_E_01_STATEMENT,pi::problem::codeforces_2167_E,codeforces_2167_E,STATEMENT,khba Loves to Sleep! - Statement,"E. khba Loves to Sleep!
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

khba has $n$ friends, each standing on a line at position $a_i$, and each of them is in the range $[0, x]$.
They all want to come to him. One of his friends, Isamatdin, gave him $k$ teleports. Each friend will walk to the nearest teleport (choosing the shortest distance). Once a friend reaches a teleport, khba and the friend can instantly meet.
But khba is so tired that he'll be sleeping while his friends are walking toward him. Now he wants to choose $k$ teleport positions so that their positions are distinct and lie within the range $[0, x]$, in order to maximize the time it takes for the first friend who reaches a teleport to reach it. Assume that friends move at the same speed.
Since khba isn't good at calculations, you should output the $k$ chosen teleport positions.",4,1,codeforces,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]","[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2167/E,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/E"", ""normalized_tags"": [""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""], ""topic_group"": [""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""], ""difficulty"": 1600.0, ""source_page_node_id"": ""codeforces_2167_E::01_STATEMENT""}"
pi::page::codeforces_2167_F_01_STATEMENT,pi::problem::codeforces_2167_F,codeforces_2167_F,STATEMENT,"Tree, TREE!!! - Statement","F. Tree, TREE!!!
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Roots change, but the tree stands strong - so should your logic.
Behruzbek received
a tree
$^{\text{∗}}$ with $n$ nodes. For a chosen
root
$^{\text{†}}$ $r$, Behruzbek wants to find
cuteness
of the tree.
Consider every set of $k$ distinct nodes of the tree. For each such set, compute its
lowest common ancestor
(
LCA
) in the tree when it is rooted at $r$. Let $S_r$ be the set of all distinct nodes obtained this way; then
cuteness
of the tree is $|S_r|$, where $|S|$ means the number of distinct elements.
After discovering the
cuteness
of trees, Behruzbek became interested in finding the
kawaiiness
of the tree!
Kawaiiness
is defined as:
$$\sum_{r = 1}^{n} |S_r| = |S_1| + |S_2| + \dots + |S_n|$$
Unfortunately, Behruzbek is feeling sleepy now. Please help Behruzbek by finding the
kawaiiness
of the tree!
$^{\text{∗}}$ A tree is a connected graph without cycles.
$^{\text{†}}$ A rooted tree is a tree where one vertex is special and called the root.",4,1,codeforces,1600.0,"[""graphs"", ""dynamic_programming"", ""math""]","[""graphs"", ""dynamic_programming"", ""math""]",https://codeforces.com/problemset/problem/2167/F,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/F"", ""normalized_tags"": [""graphs"", ""dynamic_programming"", ""math""], ""topic_group"": [""graphs"", ""dynamic_programming"", ""math""], ""difficulty"": 1600.0, ""source_page_node_id"": ""codeforces_2167_F::01_STATEMENT""}"
